Date,Close,High,Low,Open,Volume,,
11/9/2017,320.88,329.45,307.06,308.64,893249984,,
11/10/2017,299.25,324.72,294.54,320.67,885985984,,
11/11/2017,314.68,319.45,298.19,298.59,842300992,,
11/12/2017,307.91,319.15,298.51,314.69,1613479936,,
11/13/2017,316.72,328.42,307.02,307.02,1041889984,,
11/14/2017,337.63,340.18,316.76,316.76,1069680000,,
11/15/2017,333.36,340.91,329.81,337.96,722665984,,
11/16/2017,330.92,336.16,323.61,333.44,797254016,,
11/17/2017,332.39,334.96,327.52,330.17,621732992,,
11/18/2017,347.61,349.62,327.69,331.98,649638976,,
11/19/2017,354.39,371.29,344.74,347.4,1181529984,,
11/20/2017,366.73,372.14,353.29,354.09,807027008,,
11/21/2017,360.4,372.47,350.69,367.44,949912000,,
11/22/2017,380.65,381.42,360.15,360.31,800819008,,
11/23/2017,410.17,425.55,376.09,381.44,1845680000,,
11/24/2017,474.91,480.97,402.76,412.5,2292829952,,
11/25/2017,466.28,485.19,461.05,475.68,1422080000,,
11/26/2017,471.33,472.72,451.61,465.97,1197779968,,
11/27/2017,480.36,493.4,468.48,471.53,1396480000,,
11/28/2017,472.9,482.48,466.35,480.52,1346499968,,
11/29/2017,427.52,522.31,425.07,473.28,2675940096,,
11/30/2017,447.11,465.5,401.24,431.21,1903040000,,
12/1/2017,466.54,472.61,428.31,445.21,1247879936,,
12/2/2017,463.45,476.24,456.65,466.85,943649984,,
12/3/2017,465.85,482.81,451.85,463.7,990556992,,
12/4/2017,470.2,474.78,453.31,466.05,1005550016,,
12/5/2017,463.28,473.56,457.66,470.29,1216720000,,
12/6/2017,428.59,462.71,420.21,462.6,1998259968,,
12/7/2017,434.41,441.4,414.41,426.37,2129570048,,
12/8/2017,456.03,466.06,422.37,434.99,2336379904,,
12/9/2017,473.5,504.15,456.25,457.34,2003849984,,
12/10/2017,441.72,472.79,429.51,472.79,1404179968,,
12/11/2017,515.14,516.97,439.1,440.36,1771440000,,
12/12/2017,651.43,657.32,504.49,522.29,5179829760,,
12/13/2017,702.77,747.99,597.8,644.91,4524539904,,
12/14/2017,695.82,753.12,664.99,700.59,3821580032,,
12/15/2017,684.45,697.13,621.06,696.38,2758710016,,
12/16/2017,696.21,718.39,680.79,686.19,2165690112,,
12/17/2017,719.97,735.83,696.24,696.24,2147389952,,
12/18/2017,794.65,803.93,689.23,721.73,3249230080,,
12/19/2017,826.82,881.94,785.34,793.9,4096549888,,
12/20/2017,819.09,845.06,756,827.52,3969939968,,
12/21/2017,821.06,880.54,792.69,820.24,3569060096,,
12/22/2017,674.86,827.68,543.76,822.64,4977710080,,
12/23/2017,719.39,763.9,679.73,681.32,2480339968,,
12/24/2017,694.15,721.77,614.92,721.77,2300549888,,
12/25/2017,765.83,782.52,698.87,698.87,2491760128,,
12/26/2017,773.84,786.79,760.93,763.37,2201159936,,
12/27/2017,762.84,789.25,738.41,774.97,2100029952,,
12/28/2017,737.02,763.32,701.19,762.21,2389149952,,
12/29/2017,753.59,770.12,729.61,740.39,2648969984,,
12/30/2017,717.26,753.82,685.23,753.82,3187780096,,
12/31/2017,756.73,760.35,710.12,712.21,2554269952,,
1/1/2018,772.64,782.53,742,755.76,2595760128,,
1/2/2018,884.44,914.83,772.35,772.35,5783349760,,
1/3/2018,962.72,974.47,868.45,886,5093159936,,
1/4/2018,980.92,1045.08,946.09,961.71,6502859776,,
1/5/2018,997.72,1075.39,956.33,975.75,6683149824,,
1/6/2018,1041.68,1060.71,994.62,995.15,4662219776,,
1/7/2018,1153.17,1153.17,1043.01,1043.01,5569880064,,
1/8/2018,1148.53,1266.93,1016.05,1158.26,8450970112,,
1/9/2018,1299.74,1320.98,1145.49,1146,7965459968,,
1/10/2018,1255.82,1417.38,1226.6,1300.34,9214950400,,
1/11/2018,1154.93,1337.3,1135.17,1268.09,7235899904,,
1/12/2018,1273.2,1296.04,1120.09,1158.29,5222300160,,
1/13/2018,1396.42,1432.88,1270.47,1270.47,5746760192,,
1/14/2018,1366.77,1400.56,1286.21,1397.48,4841630208,,
1/15/2018,1291.92,1390.59,1290.6,1365.21,4781100032,,
1/16/2018,1053.69,1292.63,875.54,1292.63,8405139968,,
1/17/2018,1014.25,1090.23,780.92,1061.34,8545160192,,
1/18/2018,1036.28,1100.31,967.76,1016.44,5938319872,,
1/19/2018,1039.1,1093.22,1003.71,1028.82,4084450048,,
1/20/2018,1155.15,1167.11,1044.95,1044.95,3975190016,,
1/21/2018,1049.58,1155.68,1021.5,1155.68,3378089984,,
1/22/2018,1003.26,1089.1,930.74,1055.35,3810099968,,
1/23/2018,986.23,1023.23,920.54,1004.17,3556699904,,
1/24/2018,1058.78,1062.44,965.81,987.48,3944039936,,
1/25/2018,1056.03,1104.66,1034.74,1063.22,4050190080,,
1/26/2018,1055.17,1080.6,996.78,1052.7,3617690112,,
1/27/2018,1107.07,1121.98,1042.12,1055.75,3002870016,,
1/28/2018,1246.01,1257.77,1111.78,1111.78,5372329984,,
1/29/2018,1182.36,1256.7,1169.08,1246.7,3715079936,,
1/30/2018,1071.13,1184.63,1058.97,1184.13,4107859968,,
1/31/2018,1118.31,1128.66,1034.5,1071.09,3757560064,,
2/1/2018,1036.79,1161.35,984.82,1119.37,5261680128,,
2/2/2018,915.78,1035.77,757.98,1035.77,6713290240,,
2/3/2018,964.02,991.94,847.69,919.21,3243480064,,
2/4/2018,834.68,969.03,805.06,964.67,2997090048,,
2/5/2018,697.95,856.65,644.6,834.96,4269530112,,
2/6/2018,793.12,796.44,574.42,707.74,6518269952,,
2/7/2018,757.07,851.2,723.43,790.43,3896179968,,
2/8/2018,817.81,845.09,755.84,755.84,3708189952,,
2/9/2018,883.86,884,788.83,818.48,2495820032,,
2/10/2018,860.41,917.4,825.58,882.47,2930530048,,
2/11/2018,814.66,859.29,788.22,859.29,2486650112,,
2/12/2018,868.71,875.94,817.51,817.51,2243450112,,
2/13/2018,845.26,870.71,828.84,869.29,2081170048,,
2/14/2018,923.56,926.43,844.28,844.28,2818370048,,
2/15/2018,936.98,951.95,911.11,923.73,2900100096,,
2/16/2018,944.21,950.01,917.85,934.79,2369449984,,
2/17/2018,974.11,976.59,940.75,944.75,2525720064,,
2/18/2018,923.92,982.93,915.45,973.35,2567290112,,
2/19/2018,943.86,957.78,921.55,921.67,2169019904,,
2/20/2018,895.37,965.27,892.95,943.57,2545260032,,
2/21/2018,849.97,912.38,830.56,894.14,2531729920,,
2/22/2018,812.84,875.93,802.67,849.26,2150370048,,
2/23/2018,864.19,886.32,794.79,811.59,2334820096,,
2/24/2018,840.52,879.53,818.55,861.59,1926579968,,
2/25/2018,844.81,853.15,822.38,839.46,1646960000,,
2/26/2018,869.32,880.39,842.32,845.28,2044480000,,
2/27/2018,878.27,896.26,867.1,870.36,2053980032,,
2/28/2018,855.2,890.11,855.12,877.93,1963980032,,
3/1/2018,872.2,880.3,851.92,856.01,1868519936,,
3/2/2018,856.85,876.38,852.42,871.76,1894419968,,
3/3/2018,857.22,868.45,855.21,856.71,1699369984,,
3/4/2018,866.68,867.95,840.28,856.19,1697939968,,
3/5/2018,853.68,869.92,853.52,866.85,1898489984,,
3/6/2018,816.95,853.82,809.93,853.82,1943069952,,
3/7/2018,752.83,825.61,726.55,816.27,2175419904,,
3/8/2018,704.6,773.77,696.17,752.57,1891640064,,
3/9/2018,728.92,729.16,648.11,702.2,2233019904,,
3/10/2018,686.89,748.03,682.7,730.16,1532960000,,
3/11/2018,723.34,735.83,668.12,685.31,1562680064,,
3/12/2018,699.83,742.51,683.27,724.41,1764999936,,
3/13/2018,690.83,713.73,682.35,698.15,1425959936,,
3/14/2018,614.29,702.78,594.1,691.22,1810560000,,
3/15/2018,611.3,620.62,579.51,614.84,1770460032,,
3/16/2018,601.67,623.17,587.86,611.78,1417350016,,
3/17/2018,552.78,609.15,549.1,601.68,1267810048,,
3/18/2018,538.64,551.64,460.09,551.64,2685499904,,
3/19/2018,556.73,558.1,519.12,546.63,2046790016,,
3/20/2018,557.17,567.09,521.2,556.72,1833680000,,
3/21/2018,561.73,589.61,550.57,559.1,1781270016,,
3/22/2018,539.7,577.57,523.09,562.1,1523459968,,
3/23/2018,539.62,540.49,512.13,539.86,1596349952,,
3/24/2018,526.44,545.38,526.08,542.57,1300009984,,
3/25/2018,524.29,535.82,515.66,522.7,1151170048,,
3/26/2018,489.95,526.38,470.44,524.29,1638880000,,
3/27/2018,450.12,491.46,449.97,489.59,1617939968,,
3/28/2018,446.28,466.21,444.86,450.29,1514179968,,
3/29/2018,385.97,450.81,385.81,448.08,1970230016,,
3/30/2018,394.64,409.93,368.63,385.9,1878130048,,
3/31/2018,396.46,418.47,392.95,395,1323920000,,
4/1/2018,379.61,400.53,363.8,397.25,1256930048,,
4/2/2018,386.42,395.17,377.59,379.7,1102259968,,
4/3/2018,416.89,418.97,383.53,387.31,1363399936,,
4/4/2018,380.54,417.47,375.31,416.48,1287730048,,
4/5/2018,383.23,387.72,369.82,379.95,1210680064,,
4/6/2018,370.29,385.2,366.91,382.73,967105984,,
4/7/2018,385.31,393.06,369.94,370.38,951475008,,
4/8/2018,400.51,402.59,385.6,385.74,948488000,,
4/9/2018,398.53,429.25,390.61,400.86,1478390016,,
4/10/2018,414.24,415.89,393.88,399.41,1196000000,,
4/11/2018,430.54,430.54,412.47,415.02,1439040000,,
4/12/2018,492.94,493.06,417.41,430.16,2519360000,,
4/13/2018,492.73,526.47,482.66,493.16,2419249920,,
4/14/2018,501.48,512.02,488.28,492.58,1519079936,,
4/15/2018,531.7,531.7,502.88,502.88,1726089984,,
4/16/2018,511.15,534.2,500.25,532.07,1758979968,,
4/17/2018,502.89,518.03,502.56,511.14,1760359936,,
4/18/2018,524.79,525.09,503.05,503.31,1762940032,,
4/19/2018,567.89,567.89,523.26,524.04,2256869888,,
4/20/2018,615.72,618.72,560.28,567.99,2849469952,,
4/21/2018,605.4,621.89,578.55,616,2612460032,,
4/22/2018,621.86,640.77,593.87,606.12,2426269952,,
4/23/2018,642.55,646.7,621.03,621.2,2386830080,,
4/24/2018,708.16,708.88,643.4,643.4,3581860096,,
4/25/2018,615.42,707.06,600.21,707.06,4216140032,,
4/26/2018,662.81,663.18,604.01,618.08,2984009984,,
4/27/2018,647.03,684.87,647.03,662.11,2598129920,,
4/28/2018,683.68,691.44,644.65,644.65,2496659968,,
4/29/2018,688.88,697.76,670.51,683.91,2740559872,,
4/30/2018,669.92,694.44,666.12,689.76,2853100032,,
5/1/2018,673.61,674.4,637.54,670.46,2678960128,,
5/2/2018,687.15,688.84,667.42,674.08,2822269952,,
5/3/2018,779.54,784.34,686.59,686.59,4210939904,,
5/4/2018,785.62,803.75,762.63,776.78,3533410048,,
5/5/2018,816.12,827.46,784.24,784.58,3035040000,,
5/6/2018,792.31,835.06,764.88,816.09,3105570048,,
5/7/2018,753.72,795.76,710.18,793.34,4316120064,,
5/8/2018,752.86,774.25,728.13,755.01,2920489984,,
5/9/2018,752.28,759.53,718.47,752.9,2877870080,,
5/10/2018,727.28,766.75,726.66,752.58,2748950016,,
5/11/2018,679.59,736.98,669.83,727.01,3290080000,,
5/12/2018,686.05,691.41,644.07,679.88,2668480000,,
5/13/2018,733.5,741.31,675.32,687.17,2362500096,,
5/14/2018,730.55,742.17,695.79,732.73,3005110016,,
5/15/2018,708.87,739.05,700.99,731.14,2523069952,,
5/16/2018,707.05,710.2,682.54,708.09,2476130048,,
5/17/2018,672.66,718.83,668.83,708.72,2350619904,,
5/18/2018,694.37,695.03,663.81,672.1,2305740032,,
5/19/2018,696.53,715.58,686.79,695.07,2021549952,,
5/20/2018,715.37,723.75,692.67,697.92,2156910080,,
5/21/2018,699.22,719.28,692.49,717.19,2005170048,,
5/22/2018,647.74,700.98,644.03,700.18,2230469888,,
5/23/2018,583.59,651.64,572.95,646.67,2995429888,,
5/24/2018,601.76,610.82,557.21,584.54,2791099904,,
5/25/2018,586.73,617.19,575.62,602.14,2110919936,,
5/26/2018,587.28,606.17,583.51,587.43,1694300032,,
5/27/2018,572.67,590.33,562.87,588.52,1788790016,,
5/28/2018,516.04,576.05,512.55,573.04,2356900096,,
5/29/2018,565.39,572.26,516.15,516.15,2330820096,,
5/30/2018,559.59,583.14,545.43,566.83,2053970048,,
